locationKey,state,femaRegion,region,designatedArea,fipsStateCode,fipsCountyCode,placeCode
71,WA,Region 10,10,Skamania (County),53,59,99059
72,AZ,Region 9,9,Maricopa (County),4,13,99013
73,NM,Region 6,6,Mora (County),35,33,99033
74,NM,Region 6,6,San Miguel (County),35,47,99047
75,RI,Region 1,1,"Washington (County)(In (P)Msa 5520,6480)",44,9,99009
76,KS,Region 7,7,Washington (County),20,201,99201
77,NE,Region 7,7,Cass (County),31,25,99025
78,NM,Region 6,6,Torrance (County),35,57,99057
79,PR,Region 2,2,Guanica (Municipio),72,55,99055
80,OK,Region 6,6,Oklahoma (County),40,109,99109
81,OK,Region 6,6,Logan (County),40,83,99083
82,OR,Region 10,10,Lane (County),41,39,99039
83,WA,Region 10,10,Clark (County),53,11,99011
84,WA,Region 10,10,King (County),53,33,99033
85,WA,Region 10,10,Snohomish (County),53,61,99061
86,OR,Region 10,10,Clackamas (County),41,5,99005
87,CA,Region 9,9,El Dorado (County),6,17,99017
88,CA,Region 9,9,Placer (County),6,61,99061
89,ID,Region 10,10,Blaine (County),16,13,99013
90,CA,Region 9,9,Riverside (County),6,65,99065
91,CA,Region 9,9,Siskiyou (County),6,93,99093
92,ID,Region 10,10,Adams (County),16,3,99003
93,ID,Region 10,10,Gem (County),16,45,99045
94,ID,Region 10,10,Valley (County),16,85,99085
95,NV,Region 9,9,Washoe (County),32,31,99031
96,WA,Region 10,10,Adams (County),53,1,99001
97,CA,Region 9,9,Mariposa (County),6,43,99043
98,PR,Region 2,2,Guayama (Municipio),72,57,99057
99,PR,Region 2,2,Guayanilla (Municipio),72,59,99059
100,AK,Region 10,10,Denali (Borough),2,68,99068
101,AK,Region 10,10,Yukon-Koyukuk (Census Area),2,290,99290
102,PR,Region 2,2,Guaynabo (Municipio),72,61,99061
103,PR,Region 2,2,Gurabo (Municipio),72,63,99063
104,CA,Region 9,9,Orange (County),6,59,99059
105,NM,Region 6,6,Colfax (County),35,7,99007
106,NE,Region 7,7,Frontier (County),31,63,99063
107,NE,Region 7,7,Furnas (County),31,65,99065
108,NE,Region 7,7,Red Willow (County),31,145,99145
109,PR,Region 2,2,Hatillo (Municipio),72,65,99065
110,AZ,Region 9,9,Coconino (County),4,5,99005
111,NM,Region 6,6,Valencia (County),35,61,99061
112,PR,Region 2,2,Hormigueros (Municipio),72,67,99067
113,PR,Region 2,2,Humacao (Municipio),72,69,99069
114,TX,Region 6,6,Eastland (County),48,133,99133
115,FL,Region 4,4,Bay (County),12,5,99005
116,FL,Region 4,4,Calhoun (County),12,13,99013
117,KS,Region 7,7,Harvey (County),20,79,99079
118,KS,Region 7,7,Reno (County),20,155,99155
119,CO,Region 8,8,Boulder (County),8,13,99013
120,OK,Region 6,6,Texas (County),40,139,99139
121,TX,Region 6,6,Wichita (County),48,485,99485
122,CA,Region 9,9,Santa Barbara (County),6,83,99083
123,SD,Region 8,8,Pennington (County),46,103,99103
124,CA,Region 9,9,Shasta (County),6,89,99089
125,CA,Region 9,9,Kern (County),6,29,99029
126,WA,Region 10,10,Yakima (County),53,77,99077
127,WA,Region 10,10,Chelan (County),53,7,99007
128,PR,Region 2,2,Isabela (Municipio),72,71,99071
129,PR,Region 2,2,Jayuya (Municipio),72,73,99073
130,WA,Region 10,10,Stevens (County),53,65,99065
131,OR,Region 10,10,Lake (County),41,37,99037
132,PR,Region 2,2,Juana Diaz (Municipio),72,75,99075
133,PR,Region 2,2,Juncos (Municipio),72,77,99077
134,ID,Region 10,10,Nez Perce Indian Reservation,16,0,57340
135,ID,Region 10,10,Nez Perce (County),16,69,99069
136,MT,Region 8,8,Rosebud (County),30,87,99087
137,PR,Region 2,2,Lajas (Municipio),72,79,99079
138,MT,Region 8,8,Crow Indian Reservation,30,0,18325
139,MT,Region 8,8,Big Horn (County),30,3,99003
140,NV,Region 9,9,Douglas (County),32,5,99005
141,PR,Region 2,2,Lares (Municipio),72,81,99081
142,PR,Region 2,2,Las Marias (Municipio),72,83,99083
143,WA,Region 10,10,Colville Indian Reservation,53,0,14240
144,OR,Region 10,10,Klamath (County),41,35,99035
145,MT,Region 8,8,Carbon (County),30,9,99009
146,AZ,Region 9,9,Gila (County),4,7,99007
147,AZ,Region 9,9,Pinal (County),4,21,99021
148,UT,Region 8,8,Garfield (County),49,17,99017
149,AZ,Region 9,9,Yavapai (County),4,25,99025
150,CA,Region 9,9,San Bernardino (County),6,71,99071
151,CO,Region 8,8,Grand (County),8,49,99049
152,PR,Region 2,2,Las Piedras (Municipio),72,85,99085
153,PR,Region 2,2,Loiza (Municipio),72,87,99087
154,PR,Region 2,2,Luquillo (Municipio),72,89,99089
155,WY,Region 8,8,Albany (County),56,1,99001
156,WY,Region 8,8,Carbon (County),56,7,99007
157,CA,Region 9,9,Los Angeles (County),6,37,99037
158,AL,Region 4,4,Coffee (County),1,31,99031
159,AL,Region 4,4,Colbert (County),1,33,99033
160,AL,Region 4,4,Conecuh (County),1,35,99035
161,AL,Region 4,4,Covington (County),1,39,99039
162,AL,Region 4,4,Crenshaw (County),1,41,99041
163,AL,Region 4,4,Cullman (County),1,43,99043
164,AL,Region 4,4,Dale (County),1,45,99045
165,AL,Region 4,4,Dekalb (County),1,49,99049
166,AL,Region 4,4,Elmore (County),1,51,99051
167,AL,Region 4,4,Escambia (County),1,53,99053
168,AL,Region 4,4,Fayette (County),1,57,99057
169,AL,Region 4,4,Franklin (County),1,59,99059
170,AL,Region 4,4,Geneva (County),1,61,99061
171,PR,Region 2,2,Manati (Municipio),72,91,99091
172,OR,Region 10,10,Yamhill (County),41,71,99071
173,OR,Region 10,10,Josephine (County),41,33,99033
174,OR,Region 10,10,Tillamook (County),41,57,99057
175,OR,Region 10,10,Jackson (County),41,29,99029
176,OR,Region 10,10,Douglas (County),41,19,99019
177,PR,Region 2,2,Maricao (Municipio),72,93,99093
178,PR,Region 2,2,Maunabo (Municipio),72,95,99095
179,PR,Region 2,2,Mayaguez (Municipio),72,97,99097
180,OR,Region 10,10,Lincoln (County),41,41,99041
181,PR,Region 2,2,Moca (Municipio),72,99,99099
182,WA,Region 10,10,Pierce (County),53,53,99053
183,WA,Region 10,10,Thurston (County),53,67,99067
184,OR,Region 10,10,Warm Springs Indian Reservation,41,0,78650
185,OR,Region 10,10,Linn (County),41,43,99043
186,OR,Region 10,10,Marion (County),41,47,99047
187,WA,Region 10,10,Whitman (County),53,75,99075
188,AL,Region 4,4,Henry (County),1,67,99067
189,AL,Region 4,4,Houston (County),1,69,99069
190,AL,Region 4,4,Jackson (County),1,71,99071
191,AL,Region 4,4,Lamar (County),1,75,99075
192,WA,Region 10,10,Douglas (County),53,17,99017
193,AL,Region 4,4,Lawrence (County),1,79,99079
194,AL,Region 4,4,Lee (County),1,81,99081
195,AL,Region 4,4,Lowndes (County),1,85,99085
